日付,時,分,インプレッション,エンゲージメント,エンゲージメント率,リポスト,返信,いいね,ユーザープロフィールクリック,URLクリック数,ハッシュタグクリック,詳細クリック,固定リンクのクリック数,アプリ表示,アプリインストール,フォローしている,ポストをメール送信,ダイアル式電話,メディアの再生数,メディアのエンゲージメント数
2021/04/30,20,51,25,9,0.36,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0
2021/05/21,12,33,23,6,0.260869565,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2021/05/21,20,30,43,108,2.511627907,23,0,83,2,0,0,0,0,0,0,0,0,0,0,0
2021/05/21,21,48,68,43,0.632352941,8,0,35,0,0,0,0,0,0,0,0,0,0,0,0
2021/05/21,22,7,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2021/05/23,19,59,78,204,2.615384615,19,1,183,1,0,0,0,0,0,0,0,0,0,0,0
2021/05/24,18,17,182,94,0.516483516,14,1,74,3,1,0,1,0,0,0,0,0,0,0,0
2021/05/25,18,34,5,1,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021/05/25,18,51,21,31,1.476190476,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0
2021/05/26,19,46,34,40,1.176470588,2,1,37,0,0,0,0,0,0,0,0,0,0,0,0
2021/05/27,20,1,31,48,1.548387097,5,0,43,0,0,0,0,0,0,0,0,0,0,0,0
2021/05/27,21,12,585,277,0.473504274,39,3,198,18,0,0,19,0,0,0,0,0,0,0,0
2021/05/27,23,43,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2021/05/29,18,26,103,49,0.475728155,4,0,41,1,0,0,0,0,0,0,0,0,0,3,3
2021/05/29,19,21,138,113,0.81884058,11,0,87,0,0,0,2,0,0,0,0,0,0,37,13
2021/05/29,20,15,37,45,1.216216216,8,0,35,0,2,0,0,0,0,0,0,0,0,0,0
2021/05/30,18,16,26,12,0.461538462,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0
2021/05/30,19,40,101,109,1.079207921,18,0,91,0,0,0,0,0,0,0,0,0,0,0,0
2021/05/30,23,21,34,29,0.852941176,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0
2021/05/30,23,36,62,42,0.677419355,7,0,35,0,0,0,0,0,0,0,0,0,0,0,0
2021/05/31,19,32,91,25,0.274725275,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0
2021/05/31,20,28,158,59,0.373417722,9,0,46,1,0,0,0,0,0,0,0,0,0,52,3
2021/05/31,22,21,39,44,1.128205128,6,0,38,0,0,0,0,0,0,0,0,0,0,0,0
2021/06/01,18,49,51,74,1.450980392,8,0,66,0,0,0,0,0,0,0,0,0,0,0,0
2021/06/02,19,31,64,67,1.046875,9,3,54,0,0,0,1,0,0,0,0,0,0,0,0
2021/06/03,19,22,62,31,0.5,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0
2021/06/04,19,27,315,288,0.914285714,28,0,243,7,0,0,0,0,0,0,0,0,0,58,10
2021/06/04,20,11,26,31,1.192307692,2,0,29,0,0,0,0,0,0,0,0,0,0,0,0
2021/06/04,20,56,85,141,1.658823529,26,0,112,0,2,0,1,0,0,0,0,0,0,0,0
2021/06/05,19,26,170,156,0.917647059,13,0,137,0,0,0,0,0,0,0,0,0,0,22,6
2021/06/05,20,29,145,84,0.579310345,17,0,59,7,1,0,0,0,0,0,0,0,0,0,0
2021/06/06,18,46,141,50,0.354609929,7,0,38,5,0,0,0,0,0,0,0,0,0,0,0
2021/06/06,20,1,112,69,0.616071429,9,0,53,2,0,0,0,0,0,0,0,0,0,29,5
2021/06/07,20,55,37,38,1.027027027,2,0,36,0,0,0,0,0,0,0,0,0,0,0,0
2021/06/07,21,8,59,113,1.915254237,15,0,98,0,0,0,0,0,0,0,0,0,0,0,0
2021/06/08,20,40,50,41,0.82,6,0,35,0,0,0,0,0,0,0,0,0,0,0,0
